Aux_Channel_0,Aux_Channel_1,Aux_Channel_2
359.0,574.0,653.0
354.0,478.0,547.0
342.0,403.0,463.0
328.0,352.0,404.0
317.0,319.0,364.0
307.0,293.0,334.0
294.0,272.0,309.0
281.0,258.0,293.0
272.0,251.0,287.0
265.0,247.0,282.0
258.0,241.0,273.0
251.0,235.0,266.0
248.0,234.0,265.0
246.0,234.0,266.0
242.0,231.0,262.0
238.0,227.0,256.0
237.0,226.0,257.0
238.0,227.0,260.0
236.0,226.0,257.0
233.0,222.0,252.0
233.0,222.0,253.0
234.0,224.0,257.0
233.0,224.0,256.0
231.0,221.0,251.0
230.0,220.0,251.0
232.0,223.0,255.0
232.0,223.0,256.0
230.0,220.0,251.0
229.0,219.0,250.0
231.0,221.0,254.0
231.0,223.0,255.0
230.0,220.0,252.0
229.0,218.0,249.0
230.0,221.0,252.0
231.0,223.0,255.0
230.0,220.0,252.0
228.0,218.0,249.0
229.0,220.0,251.0
231.0,222.0,255.0
230.0,220.0,253.0
228.0,218.0,249.0
229.0,219.0,251.0
231.0,222.0,255.0
231.0,221.0,253.0
229.0,218.0,249.0
229.0,219.0,250.0
230.0,222.0,254.0
231.0,222.0,254.0
229.0,219.0,249.0
228.0,219.0,249.0
230.0,221.0,254.0
231.0,222.0,255.0
229.0,219.0,250.0
228.0,218.0,249.0
230.0,221.0,253.0
231.0,222.0,255.0
229.0,220.0,251.0
228.0,218.0,249.0
229.0,220.0,252.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,218.0,249.0
229.0,220.0,251.0
231.0,222.0,255.0
230.0,220.0,253.0
228.0,218.0,248.0
229.0,219.0,250.0
230.0,222.0,255.0
230.0,221.0,253.0
228.0,218.0,249.0
228.0,219.0,250.0
230.0,222.0,254.0
231.0,221.0,254.0
229.0,218.0,249.0
228.0,218.0,249.0
230.0,221.0,253.0
231.0,222.0,254.0
229.0,219.0,250.0
228.0,218.0,249.0
229.0,220.0,253.0
231.0,222.0,255.0
229.0,219.0,251.0
228.0,218.0,248.0
229.0,220.0,252.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,218.0,248.0
229.0,220.0,251.0
231.0,222.0,255.0
230.0,220.0,253.0
228.0,218.0,248.0
229.0,219.0,250.0
231.0,222.0,255.0
230.0,221.0,253.0
228.0,218.0,249.0
228.0,219.0,250.0
230.0,221.0,254.0
231.0,221.0,254.0
229.0,218.0,249.0
228.0,218.0,249.0
230.0,221.0,254.0
231.0,222.0,255.0
229.0,219.0,250.0
228.0,218.0,249.0
230.0,221.0,253.0
231.0,222.0,255.0
229.0,219.0,251.0
228.0,217.0,248.0
229.0,220.0,252.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,218.0,248.0
229.0,219.0,251.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,218.0,248.0
228.0,219.0,250.0
230.0,222.0,255.0
230.0,221.0,253.0
228.0,218.0,249.0
228.0,218.0,250.0
230.0,222.0,254.0
231.0,221.0,254.0
229.0,218.0,249.0
228.0,218.0,249.0
230.0,221.0,254.0
231.0,222.0,255.0
229.0,219.0,250.0
228.0,218.0,248.0
230.0,220.0,253.0
231.0,222.0,255.0
229.0,219.0,251.0
228.0,217.0,248.0
229.0,220.0,252.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,218.0,248.0
229.0,220.0,251.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,217.0,248.0
228.0,219.0,250.0
230.0,222.0,255.0
230.0,221.0,253.0
228.0,217.0,249.0
228.0,218.0,250.0
230.0,221.0,254.0
231.0,221.0,254.0
229.0,218.0,249.0
228.0,218.0,249.0
230.0,221.0,253.0
231.0,222.0,255.0
229.0,219.0,250.0
228.0,217.0,249.0
229.0,220.0,253.0
231.0,222.0,255.0
230.0,219.0,251.0
228.0,218.0,248.0
229.0,220.0,252.0
231.0,222.0,255.0
230.0,220.0,252.0
228.0,217.0,248.0
229.0,220.0,251.0
231.0,222.0,255.0
230.0,220.0,253.0
228.0,217.0,248.0
228.0,219.0,250.0
231.0,222.0,255.0
231.0,221.0,254.0
228.0,218.0,249.0
228.0,218.0,250.0
230.0,221.0,254.0
231.0,222.0,254.0
229.0,218.0,249.0
228.0,218.0,249.0
230.0,221.0,253.0
231.0,222.0,255.0
