timestamp,event,speed
2025-03-12 15:29:35,left,19
2025-03-12 15:29:37,right,20
2025-03-12 15:29:39,left,20
2025-03-12 15:29:41,right,18
2025-03-12 15:29:43,up,17
2025-03-12 15:29:46,up,19
2025-03-12 15:29:48,down,18
2025-03-12 15:29:51,blink,0
2025-03-12 15:29:52,down,19
2025-03-12 15:29:54,up,17
2025-03-12 15:29:57,right,15
2025-03-12 15:29:59,right,19
2025-03-12 15:30:01,left,20
2025-03-12 15:30:04,blink,0
2025-03-12 15:30:05,right,20
2025-03-12 15:30:08,blink,0
2025-03-12 15:30:10,blink,0
2025-03-12 15:30:12,up,17
2025-03-12 15:30:14,down,16
2025-03-12 15:30:17,blink,0
2025-03-12 15:30:18,left,15
2025-03-12 15:30:21,up,17
2025-03-12 15:30:23,down,19
2025-03-12 15:30:25,right,15
2025-03-12 15:30:28,down,19
2025-03-12 15:30:30,left,16
2025-03-12 15:30:32,down,17
2025-03-12 15:30:35,left,15
2025-03-12 15:30:37,left,17
2025-03-12 15:30:39,down,19
2025-03-12 15:30:42,down,20
2025-03-12 15:30:44,right,20
2025-03-12 15:30:46,up,16
2025-03-12 15:30:49,blink,0
2025-03-12 15:30:51,blink,0
2025-03-12 15:30:52,up,18
2025-03-12 15:30:54,right,17
2025-03-12 15:30:57,left,16
2025-03-12 15:30:59,up,18
2025-03-12 15:31:01,down,17
2025-03-12 15:31:04,down,19
2025-03-12 15:31:06,up,20
2025-03-12 15:31:08,right,16
2025-03-12 15:31:10,up,17
2025-03-12 15:31:13,right,17
2025-03-12 15:31:16,blink,0
2025-03-12 15:31:17,left,15
2025-03-12 15:31:21,blink,0
2025-03-12 15:31:23,blink,0
2025-03-12 15:31:24,left,18
