timestamp,event,speed
2025-03-12 15:26:51,right,18
2025-03-12 15:26:54,blink,0
2025-03-12 15:26:55,right,15
2025-03-12 15:26:59,blink,0
2025-03-12 15:27:00,right,17
2025-03-12 15:27:02,right,18
2025-03-12 15:27:05,blink,0
2025-03-12 15:27:06,up,17
2025-03-12 15:27:09,down,19
2025-03-12 15:27:11,left,18
2025-03-12 15:27:13,down,19
2025-03-12 15:27:16,blink,0
2025-03-12 15:27:17,right,16
2025-03-12 15:27:20,right,16
2025-03-12 15:27:22,left,19
2025-03-12 15:27:24,up,20
2025-03-12 15:27:26,down,18
2025-03-12 15:27:29,down,18
2025-03-12 15:27:31,right,17
2025-03-12 15:27:33,down,18
2025-03-12 15:27:36,left,15
2025-03-12 15:27:38,right,17
2025-03-12 15:27:40,right,18
2025-03-12 15:27:44,blink,0
2025-03-12 15:27:45,up,19
2025-03-12 15:27:48,blink,0
2025-03-12 15:27:50,blink,0
2025-03-12 15:27:51,up,16
2025-03-12 15:27:53,up,19
2025-03-12 15:27:55,down,17
2025-03-12 15:27:58,up,17
2025-03-12 15:28:00,left,20
2025-03-12 15:28:02,down,17
2025-03-12 15:28:04,right,19
2025-03-12 15:28:07,up,16
2025-03-12 15:28:09,up,17
2025-03-12 15:28:11,down,20
2025-03-12 15:28:13,down,19
2025-03-12 15:28:17,blink,0
2025-03-12 15:28:18,up,17
2025-03-12 15:28:20,down,16
2025-03-12 15:28:23,blink,0
2025-03-12 15:28:24,left,17
2025-03-12 15:28:28,blink,0
2025-03-12 15:28:29,up,15
2025-03-12 15:28:31,left,17
2025-03-12 15:28:34,left,19
2025-03-12 15:28:36,left,17
2025-03-12 15:28:38,left,20
2025-03-12 15:28:40,left,20
