timestamp,event,speed
2025-03-12 15:35:03,down,19
2025-03-12 15:35:05,down,15
2025-03-12 15:35:08,down,15
2025-03-12 15:35:11,blink,0
2025-03-12 15:35:12,left,17
2025-03-12 15:35:16,blink,0
2025-03-12 15:35:17,down,20
2025-03-12 15:35:19,left,19
2025-03-12 15:35:21,left,16
2025-03-12 15:35:24,up,15
2025-03-12 15:35:26,right,17
2025-03-12 15:35:28,right,17
2025-03-12 15:35:31,up,18
2025-03-12 15:35:33,left,19
2025-03-12 15:35:35,up,20
2025-03-12 15:35:37,up,20
2025-03-12 15:35:39,up,19
2025-03-12 15:35:42,blink,0
2025-03-12 15:35:43,right,15
2025-03-12 15:35:46,left,16
2025-03-12 15:35:48,right,18
2025-03-12 15:35:50,right,15
2025-03-12 15:35:54,blink,0
2025-03-12 15:35:55,up,16
2025-03-12 15:35:57,up,17
2025-03-12 15:36:00,up,19
2025-03-12 15:36:02,down,18
2025-03-12 15:36:04,left,19
2025-03-12 15:36:06,up,16
2025-03-12 15:36:09,right,16
2025-03-12 15:36:11,left,18
2025-03-12 15:36:13,right,17
2025-03-12 15:36:17,blink,0
2025-03-12 15:36:19,blink,0
2025-03-12 15:36:20,down,16
2025-03-12 15:36:22,down,20
2025-03-12 15:36:24,down,19
2025-03-12 15:36:26,right,16
2025-03-12 15:36:29,up,16
2025-03-12 15:36:31,left,16
2025-03-12 15:36:34,right,17
2025-03-12 15:36:36,left,16
2025-03-12 15:36:38,right,17
2025-03-12 15:36:42,blink,0
2025-03-12 15:36:43,down,19
2025-03-12 15:36:45,left,19
2025-03-12 15:36:47,down,17
