timestamp,event,speed
2025-03-12 15:47:16,up,18
2025-03-12 15:47:18,right,20
2025-03-12 15:47:21,up,18
2025-03-12 15:47:23,left,20
2025-03-12 15:47:25,left,19
2025-03-12 15:47:27,up,15
2025-03-12 15:47:30,down,17
2025-03-12 15:47:32,right,20
2025-03-12 15:47:34,down,20
2025-03-12 15:47:37,right,15
2025-03-12 15:47:39,left,18
2025-03-12 15:47:41,down,17
2025-03-12 15:47:44,left,19
2025-03-12 15:47:46,left,17
2025-03-12 15:47:49,blink,0
2025-03-12 15:47:50,right,19
2025-03-12 15:47:54,blink,0
2025-03-12 15:47:56,blink,0
2025-03-12 15:47:57,right,15
2025-03-12 15:47:59,right,18
2025-03-12 15:48:02,right,18
2025-03-12 15:48:04,down,18
2025-03-12 15:48:06,right,19
2025-03-12 15:48:08,up,19
2025-03-12 15:48:11,down,16
2025-03-12 15:48:13,down,16
2025-03-12 15:48:16,right,18
2025-03-12 15:48:19,blink,0
2025-03-12 15:48:20,left,15
2025-03-12 15:48:22,left,17
2025-03-12 15:48:25,left,17
2025-03-12 15:48:27,left,15
2025-03-12 15:48:30,down,19
2025-03-12 15:48:33,blink,0
2025-03-12 15:48:34,left,15
2025-03-12 15:48:37,right,19
2025-03-12 15:48:40,blink,0
2025-03-12 15:48:41,up,17
2025-03-12 15:48:44,blink,0
2025-03-12 15:48:45,up,18
2025-03-12 15:48:48,up,20
2025-03-12 15:48:50,up,15
2025-03-12 15:48:52,down,18
2025-03-12 15:48:55,up,19
2025-03-12 15:48:57,up,19
2025-03-12 15:48:59,down,20
2025-03-12 15:49:01,down,17
