timestamp,event,speed
2025-03-12 15:44:07,left,19
2025-03-12 15:44:10,left,20
2025-03-12 15:44:12,up,18
2025-03-12 15:44:15,blink,0
2025-03-12 15:44:17,blink,0
2025-03-12 15:44:18,right,18
2025-03-12 15:44:22,blink,0
2025-03-12 15:44:23,right,18
2025-03-12 15:44:25,right,17
2025-03-12 15:44:27,up,16
2025-03-12 15:44:30,down,18
2025-03-12 15:44:32,up,20
2025-03-12 15:44:34,up,19
2025-03-12 15:44:36,right,19
2025-03-12 15:44:40,blink,0
2025-03-12 15:44:41,up,19
2025-03-12 15:44:43,right,18
2025-03-12 15:44:45,up,20
2025-03-12 15:44:48,blink,0
2025-03-12 15:44:49,up,17
2025-03-12 15:44:52,down,19
2025-03-12 15:44:54,left,19
2025-03-12 15:44:56,down,15
2025-03-12 15:44:59,up,20
2025-03-12 15:45:01,up,15
2025-03-12 15:45:05,blink,0
2025-03-12 15:45:07,blink,0
2025-03-12 15:45:09,blink,0
2025-03-12 15:45:11,blink,0
2025-03-12 15:45:12,left,16
2025-03-12 15:45:14,down,15
2025-03-12 15:45:17,up,18
2025-03-12 15:45:19,left,17
2025-03-12 15:45:21,left,20
2025-03-12 15:45:25,blink,0
2025-03-12 15:45:26,left,17
2025-03-12 15:45:28,left,17
2025-03-12 15:45:30,down,18
2025-03-12 15:45:33,left,17
2025-03-12 15:45:35,left,15
2025-03-12 15:45:38,down,20
2025-03-12 15:45:40,right,16
2025-03-12 15:45:42,right,15
2025-03-12 15:45:45,right,19
2025-03-12 15:45:47,down,18
2025-03-12 15:45:49,right,16
2025-03-12 15:45:52,down,17
2025-03-12 15:45:54,right,19
2025-03-12 15:45:57,down,18
2025-03-12 15:45:59,down,20
