timestamp,event,speed
2025-03-12 15:39:02,right,18
2025-03-12 15:39:04,down,17
2025-03-12 15:39:08,blink,0
2025-03-12 15:39:09,right,15
2025-03-12 15:39:11,left,16
2025-03-12 15:39:15,blink,0
2025-03-12 15:39:16,right,16
2025-03-12 15:39:18,left,18
2025-03-12 15:39:22,blink,0
2025-03-12 15:39:23,down,20
2025-03-12 15:39:25,left,20
2025-03-12 15:39:27,up,15
2025-03-12 15:39:30,right,20
2025-03-12 15:39:32,right,19
2025-03-12 15:39:34,up,20
2025-03-12 15:39:36,right,19
2025-03-12 15:39:39,blink,0
2025-03-12 15:39:41,right,16
2025-03-12 15:39:44,blink,0
2025-03-12 15:39:45,left,16
2025-03-12 15:39:48,left,15
2025-03-12 15:39:50,right,16
2025-03-12 15:39:53,right,18
2025-03-12 15:39:55,left,15
2025-03-12 15:39:57,down,15
2025-03-12 15:40:00,left,15
2025-03-12 15:40:03,down,18
2025-03-12 15:40:05,right,19
2025-03-12 15:40:07,down,15
2025-03-12 15:40:10,down,15
2025-03-12 15:40:12,up,15
2025-03-12 15:40:16,blink,0
2025-03-12 15:40:17,left,19
2025-03-12 15:40:19,up,17
2025-03-12 15:40:21,down,18
2025-03-12 15:40:24,up,19
2025-03-12 15:40:27,blink,0
2025-03-12 15:40:28,left,18
2025-03-12 15:40:30,left,19
2025-03-12 15:40:32,up,17
2025-03-12 15:40:35,up,19
2025-03-12 15:40:37,down,17
2025-03-12 15:40:39,up,16
2025-03-12 15:40:42,down,18
2025-03-12 15:40:44,up,20
2025-03-12 15:40:46,up,17
2025-03-12 15:40:49,down,18
