timestamp,event,speed
2025-03-12 15:41:52,up,15
2025-03-12 15:41:55,blink,0
2025-03-12 15:41:56,left,16
2025-03-12 15:41:59,left,15
2025-03-12 15:42:01,down,18
2025-03-12 15:42:04,up,16
2025-03-12 15:42:06,left,17
2025-03-12 15:42:08,right,15
2025-03-12 15:42:11,down,20
2025-03-12 15:42:13,left,19
2025-03-12 15:42:16,blink,0
2025-03-12 15:42:17,left,18
2025-03-12 15:42:21,blink,0
2025-03-12 15:42:22,left,16
2025-03-12 15:42:24,right,18
2025-03-12 15:42:27,right,15
2025-03-12 15:42:29,left,15
2025-03-12 15:42:32,down,18
2025-03-12 15:42:34,up,20
2025-03-12 15:42:36,left,19
2025-03-12 15:42:38,right,17
2025-03-12 15:42:41,right,16
2025-03-12 15:42:44,blink,0
2025-03-12 15:42:45,right,15
2025-03-12 15:42:48,left,17
2025-03-12 15:42:50,up,15
2025-03-12 15:42:53,right,18
2025-03-12 15:42:55,right,19
2025-03-12 15:42:57,left,20
2025-03-12 15:42:59,right,18
2025-03-12 15:43:02,up,20
2025-03-12 15:43:05,blink,0
2025-03-12 15:43:06,up,16
2025-03-12 15:43:09,blink,0
2025-03-12 15:43:10,down,19
2025-03-12 15:43:13,right,15
2025-03-12 15:43:15,down,19
2025-03-12 15:43:18,blink,0
2025-03-12 15:43:19,down,19
2025-03-12 15:43:22,up,18
2025-03-12 15:43:24,up,20
2025-03-12 15:43:26,down,15
2025-03-12 15:43:29,down,16
2025-03-12 15:43:31,down,18
2025-03-12 15:43:33,down,15
2025-03-12 15:43:36,up,19
2025-03-12 15:43:38,up,16
